0,none,PERKS_NONE,PERKS_NONE,specialty_ks_null,specialty_ks_null,,,0,0,1,0,none,primary,none,none,,
1,power_bioSpike,PERKS_POWER_BIOSPIKE,PERKS_POWER_BIOSPIKE_DESC,zm_equip_bio_spike,,weapon,throwingknifec4_mp,5,4,1,0,none,primary,none,none,charges,0
2,power_c4,PERKS_C4,PERKS_DESC_C4,zm_equip_c4,,weapon,c4_zm,5,2,1,0,none,primary,none,none,charges,0
3,power_clusterGrenade,PERKS_POWER_CLUSTERGRENADE,PERKS_POWER_CLUSTERGRENADE_DESC,zm_equip_cluster,,weapon,cluster_grenade_zm,5,2,1,0,none,primary,none,none,charges,0
4,power_concussionGrenade,PERKS_POWER_CONCUSSION_GRENADE,PERKS_POWER_CONCUSSION_GRENADE_DESC,zm_equip_concussion,,weapon,concussion_grenade_mp,5,4,1,0,none,primary,none,none,charges,0
5,power_frag,PERKS_FRAG_GRENADE,PERKS_DESC_FRAG_GRENADE,zm_equip_frag,,weapon,frag_grenade_zm,5,4,1,0,none,primary,none,none,charges,0
6,power_gasGrenade,PERKS_POWER_GASGRENADE,PERKS_POWER_GASGRENADE_DESC,zm_equip_gas,,weapon,gas_grenade_mp,5,2,1,0,none,primary,none,none,charges,0
7,power_semtex,PERKS_POWER_SEMTEX,PERKS_POWER_SEMTEX_DESC,zm_equip_semtex,,weapon,semtex_zm,5,4,1,0,none,primary,none,none,charges,0
8,power_splashGrenade,PERKS_POWER_SPLASH_GRENADE,PERKS_POWER_SPLASH_GRENADE_DESC,zm_equip_splash,,weapon,splash_grenade_zm,5,2,1,0,none,primary,none,none,charges,0
9,power_armageddon,,,zm_equip_armageddon,,weapon,zombie_armageddon_mp,5,1,1,0,none,secondary,none,none,charges,0
10,power_blackholeGrenade,PERKS_POWER_BLACKHOLE_GRENADE,PERKS_POWER_BLACKHOLE_GRENADE_DESC,zm_equip_blackhole,,weapon,blackhole_grenade_zm,5,1,1,0,none,secondary,none,none,charges,0
11,power_kineticPulse,PERKS_POWER_KINETICPULSE,PERKS_POWER_KINETICPULSE_DESC,zm_equip_kinetic_pulse,,weapon,<power_script_generic_weapon>,5,4,1,0,none,secondary,none,none,charges,0
12,power_microTurret,PERKS_POWER_MICROTURRET,PERKS_POWER_MICROTURRET_DESC,zm_equip_micro_turret,,weapon,micro_turret_zm,5,2,1,0,none,secondary,none,none,charges,0
13,power_phaseShift,PERKS_POWER_PHASESHIFT,PERKS_POWER_PHASESHIFT_DESC,power_phaseshift_sm,,weapon,phaseshift_mp,5,1,1,0,none,secondary,none,none,charges,0
14,power_portalGenerator,PERKS_POWER_PORTAL_GENERATOR,PERKS_POWER_PORTAL_GENERATOR_DESC,zm_equip_portal_gen,,weapon,portal_generator_zm,5,1,1,0,none,secondary,none,none,charges,0
15,power_rewind,PERKS_POWER_REWIND,PERKS_POWER_REWIND_DESC,zm_equip_rewind,,weapon,rewind_mp,5,1,1,0,none,secondary,none,none,charges,0
16,power_repulsor,PERKS_POWER_REPULSOR,PERKS_POWER_REPULSOR_DESC,zm_equip_repulsor,,weapon,zom_repulsor_mp,5,4,1,0,none,secondary,none,none,charges,0
17,power_transponder,PERKS_POWER_TRANSPONDER,PERKS_POWER_TRANSPONDER_DESC,zm_equip_transponder,,weapon,ztransponder_mp,5,1,1,0,none,secondary,none,none,charges,0
18,power_tripMine,PERKS_POWER_TRIP_MINE,PERKS_POWER_TRIP_MINE_DESC,zm_equip_trip_mine,,weapon,trip_mine_mp,5,4,1,0,none,secondary,none,none,charges,0
19,power_holyWater,PERKS_NONE,PERKS_NONE,cp_hud_zombgone_trap,,weapon,holywater_cp,5,2,1,0,none,primary,none,none,charges,0
